username,video_backward_seek_avg,video_stop_backward_seek_avg,qz_mean,video_pause_backward_seek_avg,hw_mean,video_stop_backward_seek_sum,indicator,final_score
Y1050160,-1.11315761344,0.00694629505625,-0.190507213604,0.0382183177134,-0.102632954232,-0.06248057875,0.0,30.0
Y1050161,-0.880300392691,-0.267291040477,-0.339748239386,0.339549162983,-0.41747116592,-0.0534914873831,0.0,40.0
Y1050162,2.29188599784,0.694278092828,2.94581341231,0.107063524943,-0.590762501654,0.36358113866,0.0,30.0
Y1050163,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,0.0
Y1050164,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,0.0
Y1050165,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,0.0
Y1050166,-0.0288887968248,0.25060377417,1.76567936893,0.990029077149,1.61856061847,-0.288337899617,0.0,20.0
Y1050167,-1.11685375976,0.0112992685926,-0.188138308456,0.0334352884713,-0.0976355223505,-0.0626232627385,0.0,30.0
Y1050168,-1.3312302487,0.263771736222,-0.0507418085318,-0.243980410343,0.192215529674,-0.0708989341554,0.0,10.0
Y1050169,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,0.0
Y1050170,-1.3607994196,0.298595524865,-0.0317905671602,-0.282244644668,0.232194985132,-0.0720404060752,0.0,10.0
Y1050171,-0.86410642863,-0.0456527413688,0.0660593402346,0.273453868657,0.0406466250957,-0.0890324564412,0.0,10.0
Y1050172,-1.22034585784,0.133182528786,-0.121808963688,-0.100489531601,0.0422925716829,-0.0666184144557,0.0,10.0
Y1050173,2.13567884554,0.842871263426,-0.817311633805,2.02947482221,0.608512832121,1.26090534471,1.0,70.0
Y1050174,0.368535842754,-2.2056653659,-1.03795284122,-0.499164572306,0.00218641990869,0.0208868764232,1.0,80.0
