username,qz_mean,mt_online_num_day,watched_time_weekday,video_avg_count,hw_mean,indicator,final_score
Y1050160,-0.813205726909,0.488602472055,-0.272744933246,-0.31212780385,0.249508047475,0.0,30.0
Y1050161,-1.04318045889,-0.105255887318,-0.920697325452,-0.0318211701719,0.635588946623,0.0,40.0
Y1050162,1.96245288537,3.49119963588,1.08612670249,-0.845533711363,-0.195003519496,0.0,30.0
Y1050163,-2.40858976223,-0.548512120109,0.00848504934079,-0.509325062652,-0.179756369933,0.0,0.0
Y1050164,-2.2365012857,-0.365082038957,0.13208481356,-0.311522605496,-0.290877957376,0.0,0.0
Y1050165,-2.19156047755,-0.309885788335,0.151877909203,-0.389913323458,-0.280139243551,0.0,0.0
Y1050166,-1.38510832237,-0.0636324326144,-0.365414525248,0.195060541359,0.106978530445,0.0,20.0
Y1050167,0.42952362409,0.14902828017,0.143848246848,1.05263707268,0.0430051374856,0.0,30.0
Y1050168,-1.13787752733,0.037453898846,0.345444908296,0.327737337867,-0.669729926999,0.0,10.0
Y1050169,-1.29079775043,0.698679211352,0.715923539645,-0.218199491397,-0.597748725738,0.0,0.0
Y1050170,0.171734800634,0.181648326036,1.36669624466,0.333924536423,-1.53070342297,0.0,10.0
Y1050171,-1.20809157489,0.0952739113285,0.273232932713,0.216178952041,-0.409997817849,0.0,10.0
Y1050172,-1.27718756787,0.235253943239,0.12810166583,-0.923024792623,0.155874219214,0.0,10.0
Y1050173,1.29197258372,1.21264070698,-0.441425328265,0.440013703117,0.430547936768,1.0,70.0
Y1050174,1.94979905427,-1.26087322353,-0.372917450138,0.572364444127,-0.240844531318,1.0,80.0
Y1050175,-0.60908735963,0.14785808374,-0.0735691519073,0.19540270753,0.0985229404676,0.0,30.0
Y1050176,1.96372811655,-1.77579657642,-0.976998545571,-0.728265086983,-0.733918501175,1.0,90.0
Y1050177,0.235261938394,1.03479456676,0.428141946646,-0.598634735335,-0.158043113829,0.0,20.0
Y1050178,-0.199242568443,0.871658742161,0.181430072041,0.281693934824,-0.105568880607,0.0,20.0
Y1050179,2.18085314783,-1.59192113965,-0.907835086251,-0.934614101065,0.0679353142152,1.0,95.0
Y1050180,-1.08394887218,-0.367148084645,-0.779968729303,0.0548214111977,0.510807744463,0.0,40.0
Y1050181,-1.6740636613,-0.540251552563,-0.869702112969,-0.206390875019,0.533841379614,0.0,20.0
