username,video_backward_seek_avg,qz_mean,incomplete_rate,watched_time_hour,watched_time_weekday,mt_online_num_day,video_avg_count,mt_practice_sum,video_stop_backward_seek_sum,indicator,predict_score,real_score
Y1050160,-0.356916394,-0.975248649633,-1.49432547925,0.676673101639,1.92854524301,-0.284944288857,-0.391558023706,0.338705193585,0.0268888426458,0.0,28.8793231446,30.0
Y1050161,-2.0191493685,0.635954360006,0.578212959247,-0.603335156565,-0.0335688896308,-0.350238559868,-0.825270841125,0.153256032853,0.140025756528,0.0,34.056308553,40.0
Y1050162,3.28910900199,-2.9190330917,1.52414953828,2.92746650593,-1.49183684135,-1.19938595993,-1.01825343725,-0.840984073216,0.111519471906,0.0,34.6816368826,30.0
Y1050163,-2.55115431193,0.462917401521,0.699535057157,0.271637181735,-0.018978429066,0.00338422523068,0.0438478546223,0.227920427345,-0.0293395417958,0.0,6.71926939164,0.0
Y1050164,-2.55115431193,0.462917401521,0.699535057157,0.271637181735,-0.018978429066,0.00338422523068,0.0438478546223,0.227920427345,-0.0293395417958,0.0,6.71926939164,0.0
Y1050165,-2.55115431193,0.462917401521,0.699535057157,0.271637181735,-0.018978429066,0.00338422523068,0.0438478546223,0.227920427345,-0.0293395417958,0.0,6.71926939164,0.0
Y1050166,-1.76762672949,-0.0252493905148,-0.182132576666,0.216409448863,0.470282950055,0.128498699795,-0.236267582056,-0.0778466160609,-0.0533759943968,0.0,17.8337408364,20.0
Y1050167,-0.898789252718,-0.334133599694,-0.607923064249,-0.435099074306,0.00055823336154,0.220129510287,-0.222995800982,-0.258425230122,-0.0184054359161,0.0,31.2540068295,30.0
Y1050168,-1.54961045322,-0.260363228695,-0.487964058904,0.138712976548,0.0754075815216,0.318523931544,0.376906604406,-0.288929232875,-0.125139687517,0.0,11.9198172608,10.0
Y1050169,-1.06789542014,-0.680211509963,-0.437420032181,0.646756468617,0.218465476802,0.33829193983,0.368021947865,-0.0264142849923,-0.125964160419,0.0,8.60826018287,0.0
Y1050170,-1.21519581189,-0.0942635101142,0.0457822427776,0.341637683981,-0.808006903963,0.42059859944,0.626590322953,-0.223283849526,-0.168577602795,0.0,8.12708421145,10.0
Y1050171,-1.2246638701,-0.157860531315,0.136042216524,-0.239855566314,-0.729911123405,-0.216275522353,0.660708466026,0.177258920294,0.0363849997456,0.0,15.6315415682,10.0
Y1050172,-1.73776978667,0.0464779292638,-0.12352492878,0.0531385005794,0.626171981987,-0.0841824322985,-0.121458220939,0.418208129164,0.0254355496675,0.0,18.8738033776,10.0
Y1050173,1.5202796859,-1.00902103862,-1.13876622236,-1.15440589254,0.042835170537,0.236225113951,-0.360158525643,-0.0974159254011,0.082730095007,1.0,73.2904661568,70.0
Y1050174,1.32147071423,2.25311230765,-1.63483100127,-0.328426361903,-0.526846910056,0.18179354584,-0.388313525182,-0.152468927828,-0.230987596872,1.0,80.5132138335,80.0
Y1050175,0.771404984775,-0.558694433288,-0.736295014818,-0.208613254817,0.450423728191,-1.01075636017,1.13021680982,0.878136810489,0.286576312176,0.0,31.5951765908,30.0
