username,active_num_days,seek_video_sum,video_forward_seek_sum,mt_online_practice_num_day,qz_mean,hw_mean,indicator,final_score
Y1050163,-1.96203151247,-0.180831710817,-0.650439044856,0.0739605253168,-0.0202531608452,0.0534902024549,0.0,0
Y1050164,-1.96203151247,-0.180831710817,-0.650439044856,0.0739605253168,-0.0202531608453,0.0534902024549,0.0,0
Y1050165,-1.89261952175,-0.196112282962,-0.6052282948,-0.0505385216392,0.0100455405493,0.0439218294309,0.0,0
Y1050169,-1.26218759906,0.507380800555,-0.682703594481,-0.385316629858,-0.00803292230907,0.0254769945379,0.0,0
Y1050230,-1.96203151247,-0.180831710817,-0.650439044856,0.0739605253168,-0.0202531608452,0.0534902024549,0.0,0
Y1050237,-1.96203151247,-0.180831710817,-0.650439044856,0.0739605253168,-0.0202531608452,0.0534902024549,0.0,0
Y1050251,-1.82320753104,-0.211392855108,-0.560017544744,-0.175037568595,0.0403442419439,0.0343534564068,0.0,0
Y1050271,-1.96203151247,-0.180831710817,-0.650439044856,0.0739605253168,-0.0202531608452,0.0534902024549,0.0,0
Y1050272,-1.96203151247,-0.180831710817,-0.650439044856,0.0739605253168,-0.0202531608452,0.0534902024549,0.0,0
Y1050168,-1.67501553327,-0.232434063207,-0.378009175513,-0.196387339393,0.104696935009,0.0175561688584,0.0,10
Y1050170,-0.688684665052,-0.416256736367,-0.980723220623,-0.349874601966,-0.366133049218,0.190648438474,0.0,10
Y1050171,-1.02687847802,-0.256406702802,0.179857861009,-0.727502072901,0.245481015422,-0.0519876407234,0.0,10
Y1050172,-1.5301459048,-0.232822420858,-0.0511304014122,0.208677738713,0.16702509096,0.00746189437619,0.0,10
Y1050183,-1.96203151247,-0.180831710817,-0.650439044856,0.0739605253168,-0.0202531608452,0.0534902024549,0.0,10
Y1050184,-1.82014191526,-0.20141206804,-0.479374485159,0.0443588124262,0.0413752128866,0.0372712280685,0.0,10
Y1050196,-1.62135954396,-0.246562508162,-0.360157949293,-0.341516241581,0.12818483807,0.00943357873921,0.0,10
Y1050203,-1.89261952175,-0.196112282962,-0.6052282948,-0.0505385216392,0.0100455405493,0.0439218294309,0.0,10
Y1050213,-1.82320753104,-0.211392855108,-0.560017544744,-0.175037568595,0.0403442419439,0.0343534564068,0.0,10
Y1050216,-1.48631655314,-0.0716406871266,-0.37397386587,-0.345358963699,-0.0861559286948,0.0157290816848,0.0,10
Y1050217,-1.96203151247,-0.180831710817,-0.650439044856,0.0739605253168,-0.0202531608452,0.0534902024549,0.0,10
Y1050218,-1.96203151247,-0.180831710817,-0.650439044856,0.0739605253168,-0.0202531608452,0.0534902024549,0.0,10
Y1050227,-0.967957320723,0.154702238402,-0.0166372722953,-0.39916104984,-0.362707918976,-0.00662848385049,0.0,10
Y1050231,-1.82320753104,-0.211392855108,-0.560017544744,-0.175037568595,0.0403442419439,0.0343534564068,0.0,10
Y1050232,-1.4244190751,0.171180112488,-0.560310755987,-0.412288622332,-0.0999253671168,0.0237804471499,0.0,10
Y1050233,-1.79231678274,-0.175199968865,-0.559971982064,-0.176873805293,-0.0192731566621,0.0359713080246,0.0,10
Y1050234,-1.89261952175,-0.196112282962,-0.6052282948,-0.0505385216392,0.0100455405493,0.0439218294309,0.0,10
Y1050235,-1.79231678274,-0.175199968865,-0.559971982064,-0.176873805293,-0.0192731566621,0.0359713080246,0.0,10
Y1050239,-1.96203151247,-0.180831710817,-0.650439044856,0.0739605253168,-0.0202531608452,0.0534902024549,0.0,10
Y1050240,-1.79231678274,-0.175199968865,-0.559971982064,-0.176873805293,-0.0192731566621,0.0359713080246,0.0,10
Y1050243,-1.76142603445,-0.139007082623,-0.559926419384,-0.17871004199,-0.0788905552681,0.0375891596423,0.0,10
Y1050244,-1.69964453786,-0.0666213101389,-0.559835294024,-0.182382515384,-0.19812535248,0.0408248628778,0.0,10
Y1050245,-1.75855603504,-0.131469513607,-0.563425961209,-0.177834485822,-0.0728583483532,0.037545183761,0.0,10
Y1050250,-1.89261952175,-0.196112282962,-0.6052282948,-0.0505385216392,0.0100455405493,0.0439218294309,0.0,10
Y1050252,-1.73053528616,-0.102814196381,-0.559880856704,-0.180546278687,-0.138507953874,0.0392070112601,0.0,10
Y1050253,-1.66626877146,-0.184416986393,-0.341095791384,-0.0118349634396,0.0352132300114,0.0244050447856,0.0,10
Y1050258,-1.61203304656,0.0736025834954,-0.591240045083,-0.17817498327,-0.263070287458,0.0436647831811,0.0,10
Y1050269,-1.80447149836,-0.192352982726,-0.376843806505,0.280259077633,0.0478548224966,0.0390323734062,0.0,10
