username,video_forward_seek_sum,video_backward_seek_avg,qz_mean,watched_time_hour,video_pause_backward_seek_avg,watched_time_weekday,indicator,predict_score,real_score
Y1050160,-0.838138573617,0.593391976261,-0.311327667348,0.39062547038,-0.673853217729,-0.226704764953,0.0,17.7087717208,30.0
Y1050161,-1.59444988412,0.0259794764077,0.257987158444,-0.680754701046,-0.379439175466,-0.0450212322232,0.0,28.0009878537,40.0
Y1050162,5.20534524093,1.98047831088,-2.19172829384,0.487416997358,-0.0959194046194,-1.385756857,0.0,43.1042018281,30.0
Y1050163,-2.02671343726,0.514881196826,-0.149524091643,0.0369680558682,-0.0077657502968,0.130823035121,0.0,10.5985582741,0.0
Y1050164,-2.02671343726,0.514881196826,-0.149524091643,0.0369680558682,-0.0077657502968,0.130823035121,0.0,10.5985582741,0.0
Y1050165,-2.02671343726,0.514881196826,-0.149524091643,0.0369680558682,-0.0077657502968,0.130823035121,0.0,10.5985582741,0.0
Y1050166,-0.306693720062,0.85817514485,-1.3705058626,-0.699238831153,1.7733311847,-0.184756982313,0.0,16.5719318643,20.0
Y1050167,-1.32581686006,0.0110858009142,0.14308956409,-0.352224720304,-0.273686194445,0.0250388514151,0.0,25.5002343129,30.0
Y1050168,-2.02671343726,0.514881196826,-0.149524091643,0.0369680558682,-0.0077657502968,0.130823035121,0.0,10.5985582741,10.0
Y1050169,-1.13925378482,0.0608307842069,-0.00832717575916,0.782299749214,0.165669062635,0.493298277905,0.0,11.1876284773,0.0
Y1050170,-1.05975520749,-0.0877174861644,-0.244452974087,0.856169407278,0.634712995611,-0.73837779452,0.0,13.0356382697,10.0
Y1050171,-0.578431570465,-0.511325900872,0.0141792856152,0.373441253326,0.310529499655,-0.0447915269096,0.0,24.2786747922,10.0
Y1050172,-1.39428497573,0.0392394792124,-0.0132909800609,0.0812946711547,-0.176694977601,0.470674378362,0.0,17.8785966585,10.0
Y1050173,2.70726993123,-1.62116819256,-0.136644627322,-0.0137926210089,1.49173620899,-0.560224288179,1.0,83.7917005702,70.0
Y1050174,0.234801558478,-1.45582661904,0.620862508308,-0.0146688143097,0.0616536009593,-0.801492518489,1.0,74.8766324088,80.0
Y1050175,1.51195696612,-0.722735114664,-0.482870817188,0.378327755867,0.0820241755215,1.77437334032,0.0,32.9229481883,30.0
Y1050176,1.52985509867,-0.0154244347642,0.709232199507,-0.37496842387,-0.884866776383,0.98046673906,1.0,76.6969812128,90.0
Y1050177,1.23917754116,0.296397561209,-0.263510445895,1.53530332911,-0.12666898625,-0.0754163015192,0.0,20.5956728897,20.0
Y1050178,-2.02671343726,0.514881196826,-0.149524091643,0.0369680558682,-0.0077657502968,0.130823035121,0.0,10.5985582741,20.0
Y1050179,1.9712373354,-0.498991539616,0.18472845688,-1.07045789724,-0.542608077762,1.21753283574,1.0,85.3158532486,95.0
Y1050180,-1.60948513811,0.0429847535986,0.243812854128,-0.6557904313,-0.366511404187,-0.0389049098955,0.0,27.3956859567,40.0
Y1050181,-1.81997869448,0.281058634909,0.0453725931628,-0.306290653928,-0.185522605796,0.0467236029207,0.0,18.9214593766,20.0
Y1050182,2.52519109477,-0.0189126663052,-1.00483841557,-1.91656322005,0.422080019,0.848755703947,1.0,86.4907520569,90.0
Y1050183,-2.02671343726,0.514881196826,-0.149524091643,0.0369680558682,-0.0077657502968,0.130823035121,0.0,10.5985582741,10.0
Y1050184,-1.94026072662,0.41710085273,-0.068021841615,-0.106576495533,-0.0821004353403,0.0956541816472,0.0,14.0790441905,10.0
Y1050185,0.333137576521,-0.776542280513,0.373480739169,-0.975211045128,-0.496684390176,0.185811620628,1.0,78.5584997582,99.0
Y1050186,2.14425807005,1.31136531761,-0.700521206362,-0.725119384012,-1.11659413224,-1.09473235145,1.0,76.5715473599,85.0
Y1050187,-2.02671343726,0.514881196826,-0.149524091643,0.0369680558682,-0.0077657502968,0.130823035121,0.0,10.5985582741,20.0
Y1050188,3.39949957042,0.0246885519741,-1.31781643375,-0.317355724139,2.89379770312,0.875370141731,0.0,37.2289268189,45.0
Y1050189,3.05370646834,-0.683579495727,0.748601218455,0.402058125425,-0.341440530325,-0.0427893310218,1.0,85.4703450438,91.0
Y1050190,3.59973506908,1.48596014526,-1.39449596454,-1.7355715181,-0.479080284687,-0.115274254347,1.0,87.1095075305,90.0
Y1050191,2.38877623506,3.39889952236,4.35286526593,0.783669511713,1.20486350549,-0.476973924103,0.0,36.4332274712,40.0
Y1050192,2.34962021879,-0.387636693649,-0.0480232680112,0.683678098237,-0.195175969814,-0.0323131670382,1.0,71.151523876,70.0
Y1050193,-1.48405765537,0.47110575568,-0.346906126439,-0.0833306480344,0.16019513346,0.00295765544798,0.0,14.7702137558,20.0
Y1050194,4.1461513584,0.777344174519,-2.6084920993,2.5818493722,-1.71632290465,-0.738813345824,0.0,23.6644475294,20.0
Y1050195,1.87397743205,0.00537831146357,-0.85005358945,-0.346698498498,0.0622161629802,1.14935867479,0.0,38.4338848904,40.0
Y1050196,-1.95153716714,0.429854810655,-0.0786525698791,-0.0878532931774,-0.0724046068568,0.100241423404,0.0,13.6250677666,10.0
Y1050197,5.68987264866,4.21743876483,3.13699998874,0.151485774141,-0.188866109244,1.00265649528,1.0,83.7340895723,80.0
Y1050198,1.36101163697,0.485886581114,-1.19871853578,1.07781795877,-2.26522752524,0.0679162461249,0.0,27.3909380305,20.0
Y1050199,-0.713293528889,0.546061126119,-0.0370562269155,0.112639216716,-0.361389604993,0.501207595881,0.0,19.6315879424,30.0
Y1050200,2.00902635474,1.16215604535,-2.39776319374,-0.518830660598,0.826001280659,0.329583918447,0.0,25.8698231135,30.0
