username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050171,2.8,149.19,454.6,2.0,23.8,58.0,2.2,7.85,20.6,0.0,0.0,0.0,7.4,7.2,0.2,0.771428571,4.794979697,1.6,0.8,0.079545455,7.0,0.753246753,1.4,0.158441559,0.6,0.061363636,1.0,0.097727273,7.0,0.7740259740000001,2.0,0.212662338,0.0,0.0,7.6,0.83538961,3.0,0.31038961,10.6,1.145779221,14.8,1.610064935,1.4,0.158441559,18.0,1.945779221,44.8,4.860064935,0.4,0.4,0.2,0.4,0.6,15.6,0,10
Y1050172,0.6,189.0,189.0,0.2,9.2,9.2,0.4,29.4,29.4,0.0,0.0,0.0,1.8,1.6,0.2,0.2,2.4969582630000002,0.6,1.2,0.15,1.6,0.375,0.4,0.05,2.6,0.325,1.8,0.225,21.4,6.0,0.8,0.1,0.2,0.025,24.0,6.325,2.8,0.35,26.8,6.675,23.6,6.45,0.4,0.05,28.6,7.075,79.4,20.25,0.4,0.4,0.2,0.4,0.0,18.6,0,10
Y1050173,3.4,270.9066667,665.2,2.4,25.0,54.8,2.0,41.43333333,61.0,0.0,0.0,0.0,6.8,4.4,2.4,0.576666667,8.693942737999999,3.0,3.8,0.536666667,6.6,0.9833333329999999,1.4,0.253333333,9.0,1.17,5.8,0.6366666670000001,28.4,4.853333333999999,4.8,0.93,0.2,0.066666667,37.4,6.023333332999999,10.8,1.6333333330000002,48.2,7.6566666670000005,38.4,6.56,1.4,0.253333333,55.0,8.656666667,143.0,23.12666667,1.0,1.0,0.4,1.0,1.2,84.6,1,70
Y1050174,5.6,138.8571429,728.2,3.6,24.88333333,86.8,1.2,14.1,24.4,0.0,0.0,0.0,3.6,2.6,1.0,0.493333333,6.830074152000001,2.4,1.2,0.373333333,3.4,0.6,0.6,0.128888889,5.4,0.724444445,1.0,0.155555555,12.2,2.164444445,1.4,0.2,0.0,0.0,17.6,2.888888889,2.4,0.355555556,20.0,3.244444444,16.4,2.835555556,0.6,0.128888889,23.6,4.044444444,60.6,10.25333333,5.4,3.0,2.0,4.0,6.671333333,83.8,1,80
Y1050175,3.2,213.41666669999998,690.8,3.0,21.91666667,64.8,3.2,14.51666667,48.0,0.0,0.0,0.0,10.4,7.0,3.4,0.643867244,14.23637888,1.6,5.2,0.544083694,9.0,0.8412698409999999,1.2,0.106204906,4.0,0.386219336,5.4,0.5519480520000001,17.2,1.594011544,5.8,0.495093795,0.2,0.014285714,21.2,1.98023088,11.4,1.061327561,32.6,3.0415584410000003,30.6,2.7909812410000003,1.2,0.106204906,43.0,4.041558441,107.4,9.980303031,0.6,0.4,0.4,0.4,0.6,39.8,0,30
Y1050176,4.6,234.24333330000002,1055.4,3.0,29.66666667,90.0,4.0,26.72666667,99.2,0.0,0.0,0.0,10.8,10.0,0.8,0.938461538,10.56200654,1.2,7.0,0.630691531,10.8,1.0,0.0,0.0,28.2,2.623154623,11.6,1.101806527,34.6,3.35042735,5.6,0.572319348,0.0,0.0,62.8,5.973581974,17.2,1.674125874,80.0,7.647707848,50.2,4.8584110339999995,0.0,0.0,90.8,8.647707848,221.0,21.15382673,15.4,3.2,1.6,4.0,9.549333333,79.2,1,90
Y1050177,2.6,355.6166667,878.8,1.2,54.5,75.2,1.4,49.2,76.8,0.0,0.0,0.0,6.2,3.0,3.2,0.338571429,9.325476546,2.2,6.0,0.771428571,5.0,0.645714286,0.4,0.07,21.6,2.772857143,23.4,2.601428571,6.6,0.737142857,6.4,0.64,0.4,0.07,28.2,3.51,30.2,3.3114285710000004,58.4,6.821428571,15.6,1.7742857140000001,0.4,0.07,64.6,7.621428571,139.0,16.28714286,1.6,1.0,0.4,1.0,1.2,34.6,0,20
Y1050178,0.4,162.4,162.4,0.4,11.0,11.0,0.4,26.6,26.6,0.0,0.0,0.0,4.2,2.2,2.0,0.209090909,2.695077005,2.4,3.2,0.30727272699999997,3.2,0.305454545,0.8,0.074545455,10.0,0.974545455,2.4,0.234545455,5.2,0.49272727299999997,0.8,0.078181818,0.0,0.0,15.2,1.4672727269999999,3.2,0.31272727300000003,18.4,1.78,7.6,0.7236363640000001,0.8,0.074545455,22.6,2.18,49.4,4.758181818,0.4,0.4,0.2,0.4,0.35,39.0,0,20
Y1050179,4.8,261.6166667,1331.0,3.4,27.28666667,95.2,4.2,36.94666667,175.8,0.0,0.0,0.0,11.8,10.6,1.2,0.8576109390000001,12.82113027,1.0,7.2,0.565970072,11.4,0.977708978,2.6,0.168550052,58.4,3.308668731,26.8,1.6642414859999999,38.6,3.1554953560000003,13.2,1.0988906090000001,1.8,0.121775026,97.0,6.4641640879999995,41.8,2.8849071210000004,138.8,9.349071207,61.0,5.098116615,3.0,0.201883385,150.6,10.34907121,353.4,24.99814242,3.8,1.8,2.0,2.6,8.111333333,92.6,1,95
Y1050180,3.6,45.53333333,141.4,0.4,4.6,9.2,0.6,3.8,11.4,0.0,0.0,0.0,2.0,1.6,0.4,0.16,2.284804966,0.6,0.6,0.06,1.8,0.18,0.4,0.04,0.8,0.08,1.6,0.16,2.2,0.22,0.6,0.06,0.2,0.02,3.0,0.3,2.4,0.24,5.4,0.54,4.2,0.42,0.4,0.04,7.4,0.74,17.4,1.74,0.4,0.4,0.2,0.4,0.4,51.2,0,40
Y1050181,2.4,85.88,258.0,1.6,18.6,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0,20
Y1050182,4.6,223.62,1037.2,3.6,18.73333333,65.8,4.2,27.08333333,114.0,0.0,0.0,0.0,13.0,9.4,3.6,0.721078432,11.17255396,1.0,8.0,0.633578431,12.6,0.970833333,2.6,0.205392157,6.8,0.5575980389999999,17.6,1.3590686269999999,45.0,3.669607843,20.0,1.5747549019999998,1.2,0.09509803900000001,51.8,4.227205882,38.8,3.028921568,90.6,7.256127451,73.6,5.890441176,2.6,0.205392157,103.6,8.256127452000001,270.4,21.60808824,2.8,2.0,2.2,2.4,7.1333333329999995,85.0,1,90
Y1050184,0.2,12.4,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.6,0.7333333329999999,22.6,0,10
Y1050185,6.2,129.2190476,770.6,2.8,20.29333333,70.6,3.0,12.54666667,43.0,1.2,0.666666667,2.0,10.0,7.8,2.2,0.858619641,6.903262365,2.2,4.4,0.288355123,8.6,0.743143813,2.8,0.546974764,2.4,0.186926117,8.0,0.538522347,10.2,0.795439343,4.4,0.288355123,0.6,0.026086957,12.6,0.982365461,13.0,0.8529644270000001,25.6,1.8353298869999999,21.4,1.484280936,2.8,0.546974764,35.8,2.84402554,85.6,6.710611127999999,10.8,3.2,3.2,4.6,10.0,85.8,1,99
Y1050186,4.4,242.85,1030.4,2.6,31.56666667,81.0,3.4,31.0,106.4,0.0,0.0,0.0,11.0,9.4,1.6,0.803663004,6.775219806,1.2,8.0,0.762271062,10.6,0.969230769,3.2,0.322161172,23.2,2.7267399269999997,33.6,2.866666667,20.2,1.745238095,9.0,0.706410256,0.2,0.015384615,43.4,4.471978022,42.8,3.5884615380000002,86.2,8.06043956,36.4,3.0485347989999996,3.2,0.322161172,97.2,9.06043956,223.0,20.49157509,6.4,2.8,1.4,4.4,8.561333333,82.6,1,85
Y1050187,0.4,30.3,60.6,0.2,1.6,1.6,0.2,10.6,10.6,0.0,0.0,0.0,1.2,0.4,0.8,0.066666667,2.542094938,0.4,1.2,0.2,0.8,0.133333333,0.0,0.0,6.2,1.033333333,1.0,0.166666667,0.4,0.066666667,0.2,0.033333333,0.0,0.0,6.6,1.1,1.2,0.2,7.8,1.3,1.0,0.166666667,0.0,0.0,9.0,1.5,17.8,2.966666666,0.0,0.0,0.0,0.0,0.0,32.0,0,20
Y1050188,4.2,89.39619048,369.4,2.8,3.96,18.2,2.4,24.43333333,62.8,0.0,0.0,0.0,3.0,1.2,1.8,0.313333333,13.08897138,2.6,2.0,0.653333333,3.0,1.0,0.2,0.066666667,21.4,5.8,1.2,0.373333333,29.2,9.343333334,3.2,1.446666667,0.0,0.0,50.6,15.14333333,4.4,1.82,55.0,16.96333333,35.0,11.67333333,0.2,0.066666667,58.0,17.96333333,148.2,46.66666667,1.6,0.8,2.0,1.0,3.066666667,56.4,0,45
Y1050189,3.4,324.7333333,970.0,2.8,34.73333333,89.6,1.8,55.66666667,89.6,0.0,0.0,0.0,10.6,9.8,0.8,0.9138888890000001,11.22448763,4.0,6.8,0.648535353,10.0,0.948888889,1.2,0.08444444400000001,38.4,3.804646465,17.2,1.626767677,13.8,1.228434344,6.8,0.694090909,0.4,0.022222222000000003,52.2,5.033080808,24.4,2.3430808080000003,76.6,7.376161616,30.4,2.86030303,1.2,0.08444444400000001,87.2,8.376161616000001,195.4,18.69707071,4.4,3.2,1.4,3.8,7.9226666670000006,88.4,1,91
Y1050190,4.0,346.0666667,1342.2,3.2,25.36666667,71.2,2.8,76.52,189.2,0.0,0.0,0.0,11.0,8.4,2.6,0.788333333,10.78492515,2.4,9.6,0.884166667,10.4,0.960833333,1.4,0.110833333,32.8,3.96,43.0,4.018333333,61.2,5.573333333,21.6,2.065,0.8,0.0675,94.0,9.533333334,65.4,6.150833333,159.4,15.68416667,91.0,8.396666666,1.4,0.110833333,170.4,16.68416667,422.2,40.87583333,8.6,3.0,1.2,6.0,7.919333332999999,84.6,1,90
Y1050191,2.8,285.8666667,637.2,1.8,13.05,20.2,2.2,88.02,177.0,0.0,0.0,0.0,9.2,3.0,6.2,0.261111111,2.140961984,2.8,8.2,0.7412698409999999,8.0,0.707936508,0.0,0.0,138.6,12.94087302,8.2,0.692460317,7.8,0.711507936,4.0,0.37182539700000006,0.0,0.0,146.4,13.65238095,12.2,1.0642857140000002,158.6,14.71666667,19.2,1.751587302,0.0,0.0,167.8,15.51666667,345.6,31.98492064,0.2,0.2,0.2,0.2,0.333333333,41.2,0,40
Y1050192,2.6,473.0666666999999,1168.4,1.8,77.0,132.2,2.2,32.66666667,68.0,0.0,0.0,0.0,12.4,10.0,2.4,0.8131643359999999,10.97736362,2.8,6.4,0.5017249420000001,11.6,0.938333333,0.8,0.067348485,15.6,1.215518648,14.6,1.149073427,9.0,0.7040734270000001,7.4,0.6200524470000001,0.2,0.016666667,24.6,1.919592075,22.2,1.785792541,46.8,3.705384615,26.0,2.126008159,0.8,0.067348485,59.2,4.705384615,132.8,10.60412587,15.8,3.2,6.6,5.6,7.978,69.2,1,70
Y1050193,2.4,72.76666667,321.0,1.0,13.5,25.4,2.0,7.2,25.2,0.0,0.0,0.0,4.0,2.6,1.4,0.386666667,4.076006793,1.0,2.2,0.33,4.0,0.6,0.2,0.016666667,3.0,0.25,2.6,0.34,10.0,1.56,4.2,0.6133333329999999,0.2,0.016666667,13.0,1.81,7.0,0.97,20.0,2.78,17.6,2.65,0.2,0.016666667,24.0,3.38,61.8,8.826666666,0.4,0.4,0.2,0.4,0.066666667,29.0,0,20
Y1050194,3.0,233.33333330000002,617.0,2.2,21.7,46.8,2.0,42.5,76.8,0.0,0.0,0.0,5.8,3.6,2.2,0.482683983,14.97301957,3.4,4.6,0.854978355,5.8,1.0,0.4,0.06818181799999999,8.2,1.172943723,29.0,5.306277056,19.6,3.300865801,7.6,1.063852814,0.0,0.0,27.8,4.473809524,36.6,6.37012987,64.4,10.84393939,32.4,5.096536797,0.4,0.06818181799999999,70.2,11.84393939,167.4,27.8525974,0.6,0.6,0.2,0.6,1.066666667,30.0,0,20
Y1050195,5.0,319.3642857,1587.6,4.0,23.41333333,91.0,3.8,46.61666667,170.0,0.0,0.0,0.0,11.0,9.6,1.4,0.8892307690000001,12.27145749,1.2,7.0,0.639120879,11.0,1.0,1.8,0.17919413899999997,16.8,1.4276923080000001,19.4,1.7268864469999998,103.8,9.664688645,11.8,1.074065934,0.2,0.02,120.6,11.09238095,31.4,2.820952381,152.0,13.91333333,125.0,11.57956044,1.8,0.17919413899999997,163.0,14.91333333,441.8,40.58542125,1.6,1.4,0.6,1.6,1.5666666669999998,59.0,0,40
Y1050196,1.4,21.93333333,58.6,0.2,1.6,1.6,0.4,2.6,2.6,0.0,0.0,0.0,0.6,0.0,0.6,0.0,2.9759967389999997,1.6,0.2,0.1,0.6,0.4,0.0,0.0,0.2,0.1,0.0,0.0,0.2,0.1,0.2,0.1,0.0,0.0,0.4,0.2,0.2,0.1,0.6,0.3,0.8,0.5,0.0,0.0,1.2,0.7,2.6,1.5,0.0,0.0,0.0,0.0,0.0,11.0,0,10
Y1050197,3.6,455.91666669999995,1571.4,2.8,35.43333333,98.6,3.0,79.8,263.6,0.0,0.0,0.0,17.4,15.2,2.2,0.851312217,12.8710252,1.8,13.6,0.72361991,15.8,0.915701357,4.0,0.21524886899999998,110.0,4.708250378,47.8,2.389140271,31.6,1.545354449,18.8,0.960346908,2.4,0.123499246,141.6,6.253604827999999,69.0,3.472986425,210.6,9.726591251,63.0,3.2283861239999996,4.2,0.221131222,228.0,10.72659125,505.8,23.90269985,4.0,2.6,2.4,2.8,6.1333333329999995,77.6,1,80
Y1050198,1.4,122.5,228.2,1.0,12.3,23.0,1.2,13.2,20.2,0.0,0.0,0.0,3.2,2.4,0.8,0.45,11.41346147,1.8,2.6,0.635,3.2,0.8,0.6,0.15,2.4,0.71,6.6,2.66,3.8,1.235,0.6,0.12,0.4,0.125,6.2,1.945,7.6,2.905,13.8,4.85,7.2,1.93,0.6,0.15,17.0,5.65,38.6,12.58,0.0,0.0,0.0,0.0,0.0,43.8,0,20
Y1050199,2.0,144.43333330000002,472.2,1.2,20.4,40.8,1.8,22.66666667,68.0,0.0,0.0,0.0,7.2,5.0,2.2,0.420476191,5.463583885,0.8,4.0,0.332380952,6.8,0.566666667,0.8,0.067619048,32.2,2.829047619,10.6,0.8666666670000001,11.2,0.969523809,2.8,0.234761905,0.2,0.014285714,43.4,3.798571429,13.6,1.115714286,57.0,4.914285714,20.2,1.7176190480000002,0.8,0.067619048,64.2,5.514285714,142.2,12.21380952,10.2,2.0,2.2,3.4,4.7,42.0,0,30
