username,label,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,homework_num,homework_complete_num,first_three_week_homework_complete_num,last_three_week_homework_complete_num,Problem_num_day,Cumulative_num_days,repeat_num,exam_mean,hw_mean,indicator,final_score
Y1050160,0.333333333333,1.0,184.333333333,1.0,1.33333333333,0.0,1.0,1.33333333333,0.0,17.6666666667,5.33333333333,2.33333333333,8.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1,30.0
Y1050161,0.333333333333,0.666666666667,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.33333333,0.0,1,40.0
Y1050162,0.333333333333,2.66666666667,1049.0,2.66666666667,11.0,8.33333333333,10.0,10.6666666667,0.333333333333,208.0,38.3333333333,49.6666666667,110.666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666667,0.0,1,30.0
Y1050163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
Y1050164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
Y1050165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
Y1050166,0.333333333333,0.666666666667,28.3333333333,0.666666666667,0.333333333333,0.0,0.333333333333,0.333333333333,0.0,6.0,0.0,0.333333333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0
Y1050167,0.333333333333,0.666666666667,220.333333333,0.666666666667,3.0,1.33333333333,1.66666666667,2.0,0.333333333333,8.33333333333,1.0,1.0,4.66666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1,30.0
Y1050168,0.333333333333,0.333333333333,8.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0
Y1050169,0.333333333333,0.333333333333,45.6666666667,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.0,6.0,5.33333333333,0.0,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
