username,label,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,homework_num,homework_complete_num,first_three_week_homework_complete_num,last_three_week_homework_complete_num,Problem_num_day,Cumulative_num_days,repeat_num,exam_mean,hw_mean,indicator,final_score
Y1050188,0.0,3.5,313.5,2.0,2.5,1.0,1.75,2.5,0.25,54.5,16.75,1.25,31.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.25,1.583333333,0,45.0
Y1050189,0.0,3.5,982.0,2.0,11.75,10.75,7.0,11.0,1.5,96.75,41.25,18.75,32.5,1.5,4.0,3.0,1.5,1.5,1.5,3.25,1.0,93.5,7.653333333,1,91.0
Y1050190,0.0,4.5,1547.25,3.25,12.75,9.5,11.0,12.0,1.75,209.5,31.5,48.5,103.75,1.75,5.75,2.75,1.5,1.25,1.25,4.5,1.5,81.25,7.399166667,1,90.0
Y1050191,0.0,3.5,796.5,2.75,11.5,3.75,10.25,10.0,0.0,221.25,173.25,10.25,24.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,41.5,0.416666667,0,40.0
Y1050192,0.0,2.5,1173.0,2.0,13.0,10.75,7.25,12.25,0.75,75.0,18.5,17.5,26.5,0.75,14.0,3.0,1.5,1.5,7.5,4.5,2.75,61.5,7.7225,1,70.0
Y1050193,0.25,1.5,144.5,1.0,2.0,1.25,1.0,2.0,0.0,11.25,0.0,0.75,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,0.0,0,20.0
Y1050194,0.25,2.25,529.75,1.5,4.5,2.25,3.75,4.5,0.25,71.5,7.25,27.75,28.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0,20.0
Y1050195,0.0,4.75,1456.75,3.25,10.0,9.0,5.75,10.0,1.75,153.75,10.5,14.75,122.5,1.75,0.75,0.75,0.5,0.25,0.5,0.75,0.0,53.75,0.875,0,40.0
Y1050196,0.25,1.0,31.0,0.25,0.25,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0,10.0
Y1050197,0.0,3.0,1588.75,2.75,18.5,16.5,15.75,16.75,4.5,312.75,132.25,58.0,73.0,4.75,2.75,2.5,1.5,1.0,2.75,2.5,0.25,80.75,5.333333333,1,80.0
Y1050198,0.25,1.25,143.25,1.0,2.0,1.5,1.5,2.0,0.25,14.5,1.5,5.25,4.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.25,0.0,0,20.0
Y1050199,0.25,1.75,323.0,1.5,5.5,3.5,3.5,5.0,0.75,57.0,28.25,8.0,16.25,0.75,5.5,1.5,1.5,0.0,2.5,1.75,1.5,30.0,3.958333333,1,30.0
Y1050200,0.0,2.75,704.5,2.25,6.75,5.0,4.5,6.75,0.0,141.0,1.5,23.0,103.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.25,0.0,0,30.0
Y1050201,0.0,3.5,854.25,3.0,12.75,10.75,9.0,12.25,1.0,108.25,14.25,15.0,63.5,1.0,5.0,1.5,0.0,1.5,1.5,2.75,1.25,61.5,6.745833333,1,68.0
Y1050202,0.0,4.25,1089.5,3.25,11.75,11.25,3.0,11.75,3.75,111.5,6.0,2.25,94.0,3.75,2.25,1.5,0.0,1.5,1.0,1.75,0.5,73.75,7.5975,1,75.0
Y1050203,0.25,0.25,3.0,0.25,0.25,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050204,0.0,2.25,651.5,2.25,14.5,12.25,5.25,13.75,4.25,64.5,5.75,12.75,37.0,4.5,0.75,0.75,0.0,0.75,0.5,0.75,0.0,83.0,6.725833333,0,90.0
Y1050205,0.0,3.0,782.25,2.5,12.0,10.5,6.0,11.75,3.75,66.0,2.0,13.75,36.75,3.75,3.0,1.5,0.0,1.5,0.5,1.5,1.0,82.5,7.465833333,1,88.0
Y1050206,0.0,3.0,687.5,2.75,9.5,5.25,3.0,8.5,1.0,30.25,4.5,4.0,12.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,1.916666667,0,70.0
Y1050207,0.25,0.75,465.0,0.75,11.0,6.25,9.25,8.25,1.25,150.75,91.5,12.75,27.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.75,0.0,0,40.0
Y1050208,0.0,6.0,1247.25,4.0,8.25,3.25,8.0,7.25,0.0,115.25,77.5,6.75,26.75,0.0,4.5,1.5,0.0,1.5,1.0,1.5,1.25,62.5,6.75,1,70.0
Y1050209,0.0,6.0,981.0,4.25,14.25,5.25,2.5,14.25,1.25,55.75,6.25,4.5,39.0,1.25,4.5,3.0,1.5,1.5,1.5,3.75,1.0,78.5,8.4875,1,85.0
Y1050210,0.25,1.25,269.75,0.75,2.25,1.25,0.75,2.25,0.0,9.5,1.0,0.25,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.0,0,20.0
Y1050211,0.25,1.5,583.25,1.25,6.25,4.75,5.5,6.0,0.5,96.25,35.5,21.25,25.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.833333333,0,40.0
