username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_forward_seek_sum,video_forward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,indicator,indicator,final_score
Y1050172,1.0,422.5,422.5,0.5,23.0,23.0,0.5,63.5,63.5,0.0,0.0,0.0,4.0,4.0,0.5,1.64826627,3.0,0.375,3.5,0.4375,1.0,6.5,0.8125,44.0,5.5,2.0,0.25,50.5,6.3125,7.0,57.5,7.1875,49.0,6.125,1.0,61.5,7.6875,169.0,21.125,1.0,1.0,1.0,0.0,22.5,0,0,10
Y1050173,4.0,165.0,660.0,3.0,17.5,52.5,3.0,21.33333334,64.0,0.0,0.0,0.0,8.0,5.0,0.566666667,9.31456028,4.5,0.55,8.0,1.0,1.5,10.0,1.133333334,28.5,3.716666666,4.0,0.5333333339999999,38.5,4.85,11.5,50.0,6.266666667000001,38.5,4.983333334,1.5,58.0,7.266666667000001,148.0,18.73333334,1.5,1.5,1.5,1.6666666669999999,90.0,1,1,70
Y1050174,4.5,202.75,902.0,4.0,20.75,83.0,2.0,25.75,51.5,0.0,0.0,0.0,7.0,5.0,0.7333333340000001,12.71834455,2.0,0.26666666699999997,7.0,1.0,1.0,12.5,1.477777778,25.0,3.577777778,3.0,0.333333334,37.5,5.055555556,5.0,42.5,5.6111111110000005,34.0,4.755555556,1.0,49.5,6.6111111110000005,127.0,17.13333334,4.0,3.5,3.5,7.345,100.0,1,1,80
Y1050175,3.0,227.83333340000001,683.5,3.0,20.83333334,62.5,3.0,10.66666667,32.0,0.0,0.0,0.0,9.0,6.5,0.666666667,13.56709088,4.5,0.625,7.0,0.75,1.0,2.5,0.291666667,11.0,1.375,3.0,0.25,13.5,1.6666666669999999,7.0,20.5,2.5,19.5,2.208333333,1.0,29.5,3.5,70.5,8.291666667000001,0.0,0.0,0.0,0.0,35.0,0,0,30
Y1050176,4.5,189.4,830.0,2.5,25.25,62.5,4.0,26.76666667,97.5,0.0,0.0,0.0,8.5,8.5,1.0,10.36104779,4.5,0.5277777779999999,8.5,1.0,0.0,24.0,2.722222222,35.5,4.222222222,7.5,0.895833333,59.5,6.944444444,16.5,76.0,8.944444445,51.5,6.118055556,0.0,84.5,9.944444445,212.0,25.00694445,19.5,3.5,5.0,9.706666667,80.0,1,1,90
Y1050177,3.0,411.625,1206.0,2.0,51.75,103.5,2.5,40.5,109.5,0.0,0.0,0.0,8.5,4.0,0.42142857100000003,10.96486911,8.0,0.9285714290000001,6.0,0.664285715,0.0,20.5,2.1571428569999997,13.0,1.342857143,11.5,1.15,33.5,3.5,47.0,80.5,8.628571428999999,27.0,2.785714286,0.0,89.0,9.628571428999999,196.5,21.04285714,4.0,2.5,2.5,3.0,65.0,0,0,20
Y1050178,1.0,406.0,406.0,1.0,27.5,27.5,1.0,66.5,66.5,0.0,0.0,0.0,10.5,5.5,0.522727273,6.737692512000001,8.0,0.768181818,8.0,0.763636364,2.0,25.0,2.436363637,13.0,1.231818182,2.0,0.195454546,38.0,3.6681818180000003,8.0,46.0,4.45,19.0,1.809090909,2.0,56.5,5.45,123.5,11.89545455,1.0,1.0,1.0,0.875,97.5,0,0,20
Y1050179,5.0,267.6666667,1517.0,3.5,21.35,88.0,4.0,57.7,278.5,0.0,0.0,0.0,11.0,10.0,0.807017544,14.08924076,9.0,0.754385965,10.5,0.9736842109999999,3.0,120.0,6.315789475,50.5,4.6228070180000005,17.0,1.596491228,170.5,10.93859649,66.0,236.5,15.39473684,74.5,7.00877193,3.0,247.5,16.39473684,561.5,38.95614035,3.0,1.5,2.5,7.916666667,89.0,1,1,95
Y1050180,3.0,106.33333329999999,319.0,1.0,11.5,23.0,1.5,9.5,28.5,0.0,0.0,0.0,5.0,4.0,0.4,5.712012415,1.5,0.15,4.5,0.45,1.0,2.0,0.2,5.5,0.55,1.5,0.15,7.5,0.75,6.0,13.5,1.35,10.5,1.05,1.0,18.5,1.85,43.5,4.35,1.0,1.0,1.0,1.0,72.5,0,0,40
Y1050181,4.5,87.95,402.5,3.0,24.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,0,0,20
