username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_forward_seek_sum,video_forward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,indicator,indicator,final_score
Y1050203,1.0,166.0,166.0,0.5,14.5,14.5,1.0,5.5,5.5,0.0,0.0,0.0,1.5,0.5,0.25,3.709793495,0.5,0.25,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,2.5,1.5,4.5,2.75,0.0,0.0,0.0,0.0,38.5,0,0,10
Y1050204,2.5,206.33333340000001,518.5,2.5,16.83333334,42.0,2.5,20.08333334,51.0,0.0,0.0,0.0,7.0,4.5,0.6777777779999999,3.279496685,4.0,0.5333333339999999,5.5,0.833333333,2.0,17.0,1.933333334,6.5,1.255555556,3.5,0.7,23.5,3.188888889,12.5,36.0,5.288888889,14.5,2.633333334,2.0,43.0,6.288888889,95.5,14.52222222,0.0,0.0,0.0,8.701666667000001,86.0,1,1,90
Y1050205,2.5,212.91666669999998,592.0,1.5,13.66666667,41.0,1.5,19.16666667,57.5,0.0,0.0,0.0,6.0,6.0,0.5,7.02412281,2.0,0.166666667,5.0,0.41666666700000005,3.5,3.0,0.25,24.0,2.0,4.5,0.375,27.0,2.25,11.0,38.0,3.166666667,31.0,2.583333334,4.0,44.0,3.666666667,117.0,9.75,1.0,1.0,1.0,9.028333332999999,77.5,1,1,88
Y1050206,3.0,251.0,792.0,3.0,21.375,64.5,3.0,12.75,43.5,0.0,0.0,0.0,10.0,5.5,0.541666667,12.08151021,3.5,0.291666667,9.5,0.9583333340000001,0.5,9.5,0.791666667,8.0,0.729166667,1.5,0.145833334,17.5,1.520833334,8.5,26.0,2.25,18.0,1.7291666669999999,0.5,36.0,3.25,80.5,7.291666665,2.0,2.0,2.0,4.25,95.0,1,1,70
Y1050207,1.5,254.5,459.5,1.0,16.0,32.0,1.5,40.75,71.0,0.0,0.0,0.0,7.5,7.0,0.833333333,11.14665394,4.0,0.583333333,7.5,1.0,0.0,27.0,2.5,20.0,2.541666667,5.0,0.791666667,47.0,5.041666666,13.0,60.0,7.125,31.5,4.125,0.0,67.5,8.125,159.0,19.375,0.0,0.0,0.0,0.0,90.0,0,0,40
Y1050208,3.0,260.0,748.0,1.5,36.5,52.5,2.0,69.75,139.5,0.0,0.0,0.0,6.0,4.5,0.833333333,4.4895702360000005,5.5,0.944444445,6.0,1.0,0.0,94.5,19.72222223,21.5,3.388888889,2.5,0.7222222220000001,116.0,23.11111112,14.5,130.5,26.27777778,30.0,5.1111111110000005,0.0,136.5,27.27777778,297.0,58.66666667,3.5,1.5,3.5,7.166666667,72.5,1,1,70
Y1050209,4.0,130.375,521.5,2.5,10.5,27.0,3.5,13.83333333,50.5,0.0,0.0,0.0,6.5,5.0,0.7333333340000001,6.527604221,2.5,0.483333334,6.5,1.0,0.5,1.0,0.1,27.5,4.966666667,7.5,1.1,28.5,5.066666667,12.5,41.0,6.9,41.5,7.066666667000001,0.5,47.5,7.9,130.5,21.91666667,6.0,3.5,5.5,8.433333333,80.0,1,1,85
Y1050210,1.5,166.16666669999998,498.5,1.0,27.0,54.0,1.0,8.75,17.5,0.0,0.0,0.0,4.0,2.5,0.3125,0.585055097,1.5,0.1875,4.0,0.5,0.0,2.0,0.25,2.5,0.3125,1.5,0.1875,4.5,0.5625,2.0,6.5,0.8125,7.5,0.9375,0.0,10.5,1.3125,24.5,3.0625,0.0,0.0,0.0,0.0,62.5,0,0,20
Y1050211,2.5,417.08333339999996,1016.0,2.0,36.0,72.0,2.0,83.0,166.0,0.0,0.0,0.0,11.5,8.0,0.693181818,14.82178926,9.5,0.825757576,10.5,0.9090909090000001,0.5,63.5,5.5,19.5,1.65530303,7.5,0.643939394,83.0,7.15530303,47.0,130.0,11.24242424,35.0,2.996212121,0.5,141.5,12.24242425,307.0,26.52272728,4.5,2.0,2.0,3.708333333,50.0,0,0,40
Y1050212,3.0,244.0,732.0,2.5,22.5,52.0,2.5,49.5,117.5,0.0,0.0,0.0,9.0,7.0,0.75,12.55934277,6.5,0.708333333,9.0,1.0,1.0,17.5,1.833333334,27.0,3.458333333,7.5,0.916666667,44.5,5.291666666,54.0,98.5,12.45833333,42.0,5.25,1.0,107.5,13.45833333,249.0,31.25,0.0,0.0,0.0,0.0,42.5,0,0,20
Y1050213,0.5,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0,10
Y1050214,3.0,154.875,575.0,2.5,10.625,41.0,3.0,21.375,81.5,0.0,0.0,0.0,6.5,6.0,0.5,13.69421007,3.0,0.25,6.0,0.9583333340000001,1.5,13.0,1.083333334,42.0,5.791666666,5.5,1.375,55.0,6.875,16.5,71.5,9.166666665,52.0,8.0,1.5,78.0,10.16666667,203.0,27.45833334,1.0,1.0,1.0,0.625,32.5,0,0,20
Y1050215,2.0,286.25,572.5,1.5,40.25,59.5,1.5,26.0,36.0,0.0,0.0,0.0,10.0,9.5,0.9583333340000001,6.74773068,2.0,0.1875,9.5,0.9583333340000001,1.0,4.5,0.47916666700000005,9.0,0.916666667,4.0,0.41666666700000005,13.5,1.395833334,7.0,20.5,2.0625,21.5,2.1875,1.0,30.5,3.0625,73.5,7.416666666,0.0,0.0,0.0,0.0,60.0,0,0,20
Y1050216,1.5,59.33333335,178.0,0.5,6.0,6.0,0.5,11.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,6.76278055,2.0,0.5,0.5,0.125,0.0,2.0,0.5,2.5,0.625,0.5,0.125,4.5,1.125,2.5,7.0,1.75,3.0,0.75,0.0,9.0,2.25,19.0,4.75,0.0,0.0,0.0,0.0,10.0,0,0,10
Y1050218,1.0,206.75,413.5,1.0,26.0,52.0,1.0,9.25,18.5,0.0,0.0,0.0,3.0,2.0,0.333333334,6.4042693,1.5,0.25,3.0,0.5,0.0,3.0,0.5,4.0,0.666666667,1.0,0.166666667,7.0,1.166666667,8.0,15.0,2.5,8.0,1.333333334,0.0,18.0,3.0,41.0,6.833333335,0.0,0.0,0.0,0.0,12.5,0,0,10
Y1050219,3.5,68.65,333.5,1.5,11.83333334,35.5,2.0,4.333333334,12.0,0.0,0.0,0.0,4.5,1.5,0.1875,13.34804323,3.5,0.4375,3.0,0.8125,0.0,2.5,0.3125,1.5,0.1875,1.5,0.1875,4.0,0.5,3.0,7.0,0.875,5.5,1.125,0.0,11.5,1.875,24.0,3.875,3.0,2.0,3.0,3.666666667,75.0,0,0,20
